Fecha;turistas
Jan-91;47204
Feb-91;45584
Mar-91;48206
Apr-91;36619
May-91;31607
Jun-91;36859
Jul-91;47855
Aug-91;45846
Sep-91;33029
Oct-91;37674
Nov-91;43416
Dec-91;50750
Jan-92;58361
Feb-92;58168
Mar-92;54148
Apr-92;45539
May-92;41879
Jun-92;46124
Jul-92;57957
Aug-92;52587
Sep-92;36224
Oct-92;40615
Nov-92;51978
Dec-92;67011
Jan-93;70545
Feb-93;69626
Mar-93;63736
Apr-93;53469
May-93;43217
Jun-93;47328
Jul-93;66448
Aug-93;55842
Sep-93;42217
Oct-93;45353
Nov-93;56181
Dec-93;70043
Jan-94;83163
Feb-94;73510
Mar-94;78045
Apr-94;57318
May-94;48028
Jun-94;50142
Jul-94;67431
Aug-94;64030
Sep-94;49012
Oct-94;52665
Nov-94;61670
Dec-94;76434
Jan-95;88908
Feb-95;76361
Mar-95;72734
Apr-95;60732
May-95;52293
Jun-95;54564
Jul-95;70297
Aug-95;61089
Sep-95;49291
Oct-95;51141
Nov-95;68329
Dec-95;78871
Jan-96;90627
Feb-96;80543
Mar-96;78923
Apr-96;60261
May-96;50696
Jun-96;57057
Jul-96;66121
Aug-96;60594
Sep-96;44720
Oct-96;48271
Nov-96;62856
Dec-96;80458
Jan-97;91584
Feb-97;80709
Mar-97;77573
Apr-97;58597
May-97;54849
Jun-97;60822
Jul-97;74928
Aug-97;62568
Sep-97;50868
Oct-97;54933
Nov-97;62692
Dec-97;81367
Jan-98;101145
Feb-98;89743
Mar-98;89327
Apr-98;78634
May-98;64476
Jun-98;71379
Jul-98;85030
Aug-98;72376
Sep-98;56949
Oct-98;64173
Nov-98;72802
Dec-98;96819
Jan-99;117108
Feb-99;98694
Mar-99;102553
Apr-99;81663
May-99;69663
Jun-99;76924
Jul-99;92211
Aug-99;80765
Sep-99;59367
Oct-99;66001
Nov-99;81174
Dec-99;105462
Jan-00;115990
Feb-00;106290
Mar-00;107929
Apr-00;87931
May-00;75436
Jun-00;77011
Jul-00;91906
Aug-00;78326
Sep-00;65258
Oct-00;68832
Nov-00;93995
Dec-00;119171
