fecha;serie
Jan-78;2522
Feb-78;2750
Mar-78;2210
Apr-78;3154
May-78;2392
Jun-78;2288
Jul-78;2800
Aug-78;2178
Sep-78;2316
Oct-78;1782
Nov-78;2068
Dec-78;3436
Jan-79;2344
Feb-79;2980
Mar-79;3334
Apr-79;2184
May-79;2212
Jun-79;2838
Jul-79;2560
Aug-79;2380
Sep-79;2254
Oct-79;1956
Nov-79;2270
Dec-79;3410
Jan-80;2264
Feb-80;3144
Mar-80;3400
Apr-80;2260
May-80;2924
Jun-80;2440
Jul-80;2550
Aug-80;2788
Sep-80;2114
Oct-80;2068
Nov-80;2516
Dec-80;3488
Jan-81;2320
Feb-81;2858
Mar-81;2716
Apr-81;2340
May-81;2638
Jun-81;2374
Jul-81;2550
Aug-81;2746
Sep-81;2160
Oct-81;2388
Nov-81;2194
Dec-81;3010
Jan-82;2504
Feb-82;2898
Mar-82;3124
Apr-82;2544
May-82;3010
Jun-82;2494
Jul-82;3330
Aug-82;2494
Sep-82;2278
Oct-82;2446
Nov-82;2436
Dec-82;3676
Jan-83;2630
Feb-83;2928
Mar-83;3218
Apr-83;3012
May-83;2794
Jun-83;2778
Jul-83;3322
Aug-83;2734
Sep-83;2600
Oct-83;2734
Nov-83;2664
Dec-83;3546
